"module_or_path","role","actually_used","maturity","duplication_level","architectural_quality","keep_remove_refactor_legacy","notes"
"README.md","repo-level operator and architecture entrypoint","yes","medium","low","medium","refactor","Mixes canonical and compatibility narratives."
"configs/","source-of-truth profile/config tree","yes","high","medium","medium","refactor","Canonical, but some legacy and GUI/deployment fields need clearer boundaries."
"configs/default.yaml","legacy backend-centric runtime config","partial","legacy","high","low","legacy","Used by old `asr_ros` and old benchmark path, not by canonical provider-profile stack."
"configs/runtime/default_runtime.yaml","canonical runtime profile","yes","high","low","high","keep","Drives runtime nodes after launch fix."
"configs/benchmark/default_benchmark.yaml","canonical benchmark profile","yes","high","low","high","keep","Now truly controls `execution_mode` in benchmark core."
"configs/metrics/default_quality.yaml","canonical quality metric profile","yes","high","low","high","keep","Good separation of metric selection."
"configs/metrics/default_timing.yaml","canonical timing/reliability metric profile","yes","medium","low","medium","refactor","Contains some metrics not applicable in batch mode by design."
"configs/providers/*.yaml","canonical provider profile set","yes","high","low","high","keep","`adapter` field is now honored."
"configs/gui/default_gui.yaml","GUI/gateway profile","no","low","none","low","legacy","Profile exists, but gateway bootstrap does not consume it."
"configs/deployment/dev_local.yaml","deployment-scoped defaults","yes","medium","low","medium","refactor","Now applied to runtime/benchmark resolution; still not a full deployment model."
"configs/resolved/","derived resolved snapshots","yes","derived","high","medium","keep","Useful for traceability; not source of truth."
"ros2_ws/src/asr_config","config resolution and validation","yes","high","low","high","keep","Core platform glue."
"ros2_ws/src/asr_core","shared models/helpers/namespaces","yes","high","medium","medium","refactor","Contains both canonical normalized models and legacy backend factory."
"ros2_ws/src/asr_provider_base","provider abstraction and manager","yes","high","low","high","keep","Canonical provider control plane."
"ros2_ws/src/asr_provider_whisper","canonical local whisper adapter","yes","high","low","high","keep","Batch-only local baseline."
"ros2_ws/src/asr_provider_vosk","canonical local vosk adapter","yes","high","low","high","keep","Streaming-capable local baseline."
"ros2_ws/src/asr_provider_google","canonical google adapter","yes","medium","low","medium","keep","Requires real credentials and network."
"ros2_ws/src/asr_provider_aws","canonical AWS adapter","yes","medium","low","medium","keep","Requires real credentials and network."
"ros2_ws/src/asr_provider_azure","canonical Azure adapter","yes","medium","low","medium","keep","Requires real credentials and network."
"ros2_ws/src/asr_backend_*","legacy/internal backend substrate","yes","legacy-internal","high","medium","legacy","Still needed under provider adapters and old stack."
"ros2_ws/src/asr_runtime_nodes","canonical ROS2 runtime transport/orchestration layer","yes","high","low","high","keep","Most coherent runtime path in repo."
"ros2_ws/src/asr_benchmark_core","canonical benchmark orchestration/execution layer","yes","high","low","high","keep","Best benchmark architecture in repo."
"ros2_ws/src/asr_benchmark_nodes","ROS shell around benchmark core","yes","high","low","high","keep","Good boundary between ROS transport and benchmark core."
"ros2_ws/src/asr_gateway","HTTP gateway and UI backend","yes","medium","medium","medium","refactor","Operationally central; still large and carries some compatibility logic."
"ros2_ws/src/asr_launch","canonical launch package","yes","medium","low","medium","refactor","Good canonical role; some launch surfaces remain redundant."
"ros2_ws/src/asr_interfaces","ROS2 messages/services/actions","yes","high","medium","medium","keep","Covers both canonical and compatibility surfaces."
"ros2_ws/src/asr_storage","artifact persistence layout","yes","high","low","high","keep","Important reproducibility component."
"ros2_ws/src/asr_datasets","dataset registry/import/manifest layer","yes","medium","low","medium","keep","Reasonable baseline."
"ros2_ws/src/asr_metrics","canonical metric engine plus legacy flat collectors","yes","medium","medium","medium","refactor","Canonical path is clean; legacy metric path remains alongside it."
"ros2_ws/src/asr_reporting","export helpers","yes","medium","low","medium","keep","Simple and serviceable."
"ros2_ws/src/asr_ros","compatibility runtime package","partial","legacy","high","low","legacy","Old monolithic runtime path retained for tests/backward compatibility."
"ros2_ws/src/asr_benchmark","compatibility benchmark package","partial","legacy","high","low","legacy","Old flat benchmark runner diverges from benchmark core."
"web_ui/","active browser UI","yes","medium","low","medium","keep","Gateway-first and aligned with canonical stack."
"scripts/run_demo.sh","operator convenience for canonical runtime launch","yes","medium","low","medium","keep","Now benefits from runtime profile fidelity fix."
"scripts/run_benchmark_core.py","canonical benchmark operator CLI","yes","medium","low","high","keep","Runs `BenchmarkOrchestrator` directly and exports compatibility artifacts from canonical outputs."
"scripts/run_benchmarks.sh","benchmark operator wrapper","yes","medium","low","medium","keep","Environment/build wrapper that now delegates to `run_benchmark_core.py`."
"scripts/generate_report.py","benchmark report bridge","yes","medium","medium","medium","keep","Primary local report tool; accepts canonical summary JSON and legacy flat JSON."
"docs/arch/","generated architecture extraction artifacts","yes","derived","medium","medium","keep","Useful, but includes both canonical and legacy paths."
"artifacts/","canonical persistent run outputs","yes","high","low","high","keep","Correct place for benchmark/runtime traceability."
"results/live_sample_smoke*","tracked example outputs","partial","sample-artifact","medium","low","legacy","Not source code; keep only as example evidence."
