run_id,utt_id,dataset,split,language,speaker_id,accent_group,snr_db,noise_profile,backend,model,execution_mode,ref_text,hyp_text,wer,cer,ser,word_edits,ref_words,char_edits,ref_chars,ftl_ms,final_latency_ms,provider_compute_rtf,end_to_end_rtf,rtf,duration_sec,cpu_pct_mean,cpu_pct_peak,ram_mb_peak,gpu_util_pct_mean,gpu_mem_mb_peak,energy_j,confidence_mean,confidence_available,ece_bin,correct,oov_tokens,oov_available,oov_rate,cost_usd,model_size_mb,trace_artifact_ref,source_schema
thesis_fast_20260503T225907Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Concord return to its place amidst the tents.,0.125,0.05128205128,1,1,8,2,39,,2756.791617,0.7864303375,0.7865311318,0.7865311318,3.505,18.32692308,92.4,934.8007812,4.666666667,642,,0.8491403803,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_a6aabb50d550441db4d99081df7eb756.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,466.362731,0.1329527301,0.133056414,0.133056414,3.505,31.96,81.9,945.125,36,655,,0.8710257855,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_d9e41999b5de475593ad2360ede719d8.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,472.471055,0.1347215367,0.1347991598,0.1347991598,3.505,34,81.2,909.0039062,6,640,,0.8793626168,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_37db1e3ffec44d9c88784d6f0a0b82b8.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Conquered return to its place amidst the tents.,0.25,0.1538461538,1,2,8,6,39,,467.37592,0.1332738859,0.1333454836,0.1333454836,3.505,33.46,83.3,947.8085938,7.5,629,,0.8005205323,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_435e4f2d64fd475caceec8bbfa20398c.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Come forward, return to its place amid the tents.",0.5,0.2564102564,1,4,8,10,39,,450.827808,0.1285410673,0.1286241963,0.1286241963,3.505,31.3,78.8,856.8046875,4.5,629,,0.627410269,True,6,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_40cd4683de51418b976a604549a05a89.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,641.714961,0.04509156506,0.0451117723,0.0451117723,14.225,30.91428571,94.4,960.390625,3.666666667,626,,0.9404626467,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_3869b7028c6041d59cc2e23af68f96a1.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,645.540014,0.04533431972,0.04538066882,0.04538066882,14.225,31.02857143,90.6,961.5078125,4.333333333,626,,0.9275707131,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_68e1d5e074614618a1bf5b3f90e0b795.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French baskets of flowers of which they had made a plantable provision to create the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.06976744186,0.07446808511,1,3,43,14,188,,631.932086,0.04440081736,0.04442404822,0.04442404822,14.225,29.88571429,90.7,962.6757812,3.666666667,625,,0.9111191485,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_6a50a89b559c41d5be3f69e73d39f40a.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French basket of powers of which they had made a possible provision to create the arrival of the young princess. The French Inreturn invited the English to a supper, which was to be given the next day.",0.1627906977,0.1010638298,1,7,43,19,188,,671.751588,0.04720026032,0.04722331023,0.04722331023,14.225,46.4,100,963.4882812,10.33333333,626,,0.8534854295,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_052e3e8f0c9948b38828f3e1eb8b1b5e.json,canonical
thesis_fast_20260503T225907Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French fans get the powers of which they had made a contribution to the ideal rival of the young princess. The French painter invited me to this tour center, which was to be given the next day.",0.3953488372,0.2765957447,1,17,43,52,188,,618.291937,0.0434372135,0.04346516253,0.04346516253,14.225,30.81428571,89.9,946.7695312,4.333333333,626,,0.7126766705,True,7,False,0,False,,0,,artifacts/benchmark_runs/thesis_fast_20260503T225907Z/metrics/traces/trace_2fa4443138e34ffd969c2594e21fcf1c.json,canonical
