run_id,utt_id,dataset,split,language,speaker_id,accent_group,snr_db,noise_profile,backend,model,execution_mode,ref_text,hyp_text,wer,cer,ser,word_edits,ref_words,char_edits,ref_chars,ftl_ms,final_latency_ms,provider_compute_rtf,end_to_end_rtf,rtf,duration_sec,cpu_pct_mean,cpu_pct_peak,ram_mb_peak,gpu_util_pct_mean,gpu_mem_mb_peak,energy_j,confidence_mean,confidence_available,ece_bin,correct,oov_tokens,oov_available,oov_rate,cost_usd,model_size_mb,trace_artifact_ref,source_schema
thesis_local_20260503T220622Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Concord return to its place amidst the tents.,0.125,0.05128205128,1,1,8,2,39,,2604.097921,0.7428670525,0.7429665966,0.7429665966,3.505,15.3125,77.8,923.15625,4.111111111,538,,0.8491403803,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_647590cbac0143299cec9b1a170b4b39.json,canonical
thesis_local_20260503T220622Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,426.152039,0.1215006996,0.121584034,0.121584034,3.505,31.88,81.1,870.734375,4.5,511,,0.8710257855,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_b48a1d380c5944c9a642e9dcc8b940d4.json,canonical
thesis_local_20260503T220622Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,446.605574,0.1273377284,0.1274195646,0.1274195646,3.505,32.2,80.5,862.984375,4,511,,0.8793626168,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_b03c1e77376d408195028d0148948fc6.json,canonical
thesis_local_20260503T220622Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Conquered return to its place amidst the tents.,0.25,0.1538461538,1,2,8,6,39,,440.623696,0.1256332884,0.1257128947,0.1257128947,3.505,32.68,81.9,857.4570312,6.5,511,,0.8005205323,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_dfd5b4b646a84af9aba4be10940dc505.json,canonical
thesis_local_20260503T220622Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Come forward, return to its place amid the tents.",0.5,0.2564102564,1,4,8,10,39,,431.96403,0.123167481,0.123242234,0.123242234,3.505,33.08,82.8,861.6914062,4.5,511,,0.627410269,True,6,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_a58a804726264e2e8c60a41d09397fb8.json,canonical
thesis_local_20260503T220622Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,647.167882,0.04547441779,0.04549510594,0.04549510594,14.225,31.38571429,91.8,870.046875,3.333333333,510,,0.9404626467,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_116ba60c24284ae09abcbc2036b2e8b4.json,canonical
thesis_local_20260503T220622Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,596.788939,0.041930982,0.04195352822,0.04195352822,14.225,30.93333333,90,934.8320312,2.5,509,,0.9275707131,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_161154e5e3f64d5bb157367cc3250558.json,canonical
thesis_local_20260503T220622Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French baskets of flowers of which they had made a plantable provision to create the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.06976744186,0.07446808511,1,3,43,14,188,,585.878157,0.04116133554,0.04118651367,0.04118651367,14.225,30.98333333,90,939.5429688,3,507,,0.9111191485,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_b5fda96bef45472e9f69474f6e629a73.json,canonical
thesis_local_20260503T220622Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French basket of powers of which they had made a possible provision to create the arrival of the young princess. The French Inreturn invited the English to a supper, which was to be given the next day.",0.1627906977,0.1010638298,1,7,43,19,188,,598.987071,0.04208528049,0.0421080542,0.0421080542,14.225,30.88333333,89.4,984.9257812,4,507,,0.8534854295,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_4c54d944b91f419eaf944d622946dee0.json,canonical
thesis_local_20260503T220622Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French fans get the powers of which they had made a contribution to the ideal rival of the young princess. The French painter invited me to this tour center, which was to be given the next day.",0.3953488372,0.2765957447,1,17,43,52,188,,610.742985,0.04290943754,0.04293448049,0.04293448049,14.225,32.35714286,90,939.578125,3.666666667,507,,0.7126766705,True,7,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T220622Z/metrics/traces/trace_c528c96c7071421385427e10cc4740de.json,canonical
