run_id,utt_id,dataset,split,language,speaker_id,accent_group,snr_db,noise_profile,backend,model,execution_mode,ref_text,hyp_text,wer,cer,ser,word_edits,ref_words,char_edits,ref_chars,ftl_ms,final_latency_ms,provider_compute_rtf,end_to_end_rtf,rtf,duration_sec,cpu_pct_mean,cpu_pct_peak,ram_mb_peak,gpu_util_pct_mean,gpu_mem_mb_peak,energy_j,confidence_mean,confidence_available,ece_bin,correct,oov_tokens,oov_available,oov_rate,cost_usd,model_size_mb,trace_artifact_ref,source_schema
thesis_local_20260503T222647Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Concord return to its place amidst the tents.,0.125,0.05128205128,1,1,8,2,39,,2647.053431,0.7551405061,0.7552220916,0.7552220916,3.505,16.588,89.4,912.9296875,22.44444444,635,,0.8491403803,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_f40bd4ae08c2461cb6c7ee732e741b8c.json,canonical
thesis_local_20260503T222647Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,459.632943,0.1310499926,0.1311363603,0.1311363603,3.505,53.84,100,886.0234375,26,625,,0.8710257855,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_c5e8ee98a1024fdb9a50832188cec9bc.json,canonical
thesis_local_20260503T222647Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Conquered, returned to its place amidst the tents.",0.125,0.1025641026,1,1,8,4,39,,478.058333,0.1363132864,0.1363932476,0.1363932476,3.505,34.48,84,957.2226562,27,621,,0.8793626168,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_31ca1f6b589c4b1a95baf33e40f3abb8.json,canonical
thesis_local_20260503T222647Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,Conquered return to its place amidst the tents.,0.25,0.1538461538,1,2,8,6,39,,482.782078,0.1376733452,0.1377409638,0.1377409638,3.505,54.7,100,914.1914062,13.5,615,,0.8005205323,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_a5cf9529a53a4319a03503327e5d5ddb.json,canonical
thesis_local_20260503T222647Z,6930-75918-0000,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,CONCORD RETURNED TO ITS PLACE AMIDST THE TENTS,"Come forward, return to its place amid the tents.",0.5,0.2564102564,1,4,8,10,39,,458.880403,0.1308433578,0.1309216556,0.1309216556,3.505,33.18,84.8,958.2226562,21,614,,0.627410269,True,6,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_9fcc36349eef48978b0883540c3ea8fe.json,canonical
thesis_local_20260503T222647Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,,none,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,642.894885,0.04517863663,0.04519471951,0.04519471951,14.225,31.62857143,88.8,955.765625,18.33333333,612,,0.9404626467,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_09a3869be9a44d3e9536ae2f130fa07f.json,canonical
thesis_local_20260503T222647Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,20,white:custom_20db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English forwarded to the French baskets of flowers of which they had made a plantable provision to greet the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.02325581395,0.02659574468,1,1,43,5,188,,647.150664,0.04547524682,0.04549389554,0.04549389554,14.225,33.64285714,90,959.3242188,26,613,,0.9275707131,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_6655546136b04ef6b57c6816d544ae98.json,canonical
thesis_local_20260503T222647Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,10,white:custom_10db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French baskets of flowers of which they had made a plantable provision to create the arrival of the young princess. The French in return invited the English to a supper, which was to be given the next day.",0.06976744186,0.07446808511,1,3,43,14,188,,643.535587,0.04521443817,0.04523976007,0.04523976007,14.225,32.44285714,90.1,893.6523438,35.66666667,620,,0.9111191485,True,9,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_e5463e4bdced4d9da49278dbec027a30.json,canonical
thesis_local_20260503T222647Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,5,white:custom_5db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French basket of powers of which they had made a possible provision to create the arrival of the young princess. The French Inreturn invited the English to a supper, which was to be given the next day.",0.1627906977,0.1010638298,1,7,43,19,188,,664.158127,0.04666846791,0.04668949926,0.04668949926,14.225,33.51428571,89.4,884.0625,37.33333333,611,,0.8534854295,True,8,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_b729ebf508bd441b9d51121a18e72ed9.json,canonical
thesis_local_20260503T222647Z,6930-75918-0001,librispeech_test_clean_subset,,en-US,,,0,white:custom_0db,providers/whisper_local:light,light,batch,THE ENGLISH FORWARDED TO THE FRENCH BASKETS OF FLOWERS OF WHICH THEY HAD MADE A PLENTIFUL PROVISION TO GREET THE ARRIVAL OF THE YOUNG PRINCESS THE FRENCH IN RETURN INVITED THE ENGLISH TO A SUPPER WHICH WAS TO BE GIVEN THE NEXT DAY,"The English voted to the French fans get the powers of which they had made a contribution to the ideal rival of the young princess. The French painter invited me to this tour center, which was to be given the next day.",0.3953488372,0.2765957447,1,17,43,52,188,,618.246131,0.04344092935,0.04346194243,0.04346194243,14.225,32.9,88.1,977.3671875,28,611,,0.7126766705,True,7,False,0,False,,0,,artifacts/benchmark_runs/thesis_local_20260503T222647Z/metrics/traces/trace_ac82a0fffe3945bda7dd49c5a4ad00ae.json,canonical
